year,burial_society,funeral_insurance,life_insurance
2006,0.18517793268689683,0.2442528480209857,0.0942275942933437
2007,0.29044414945171193,0.2570214324559564,0.09455417602153017
2008,0.24550322971756117,0.274788959905989,0.12487361334087226
2009,0.19677454869488029,0.28385715429231895,0.14202229105960132
2010,0.15603031247846508,0.36031078402205813,0.18886175505974534
2011,0.12080474029820935,0.30828363430504235,0.1351577422805352
2012,0.24403342718172535,0.2573232210253764,0.1159074283214401
2013,0.19857780793130175,0.3271877066419758,0.153544683469689
2014,0.2393792797001198,0.3311518526738129,0.14751562879679544
2015,0.2047795404619848,0.2929344749789188,0.11757972800835877
2016,0.23680826494617171,0.29505606255235356,0.12478636034227046
2017,0.19004864346346803,0.32219548600424414,0.1206018640871587
2018,0.18193431080512748,0.3671869918681097,0.12606235779796274
2019,0.18292676933649693,0.33424927709735514,0.11941751154467359
